support,itemsets,itemsets_readable,itemset_size
0.0677671589921807,frozenset({'tropical fruit'}),tropical fruit,1
0.15792287642852368,frozenset({'whole milk'}),whole milk,1
0.049054334023925686,frozenset({'pip fruit'}),pip fruit,1
0.12210118291786407,frozenset({'other vegetables'}),other vegetables,1
0.11000467820624206,frozenset({'rolls/buns'}),rolls/buns,1
0.007819287576020852,frozenset({'pot plants'}),pot plants,1
0.05313105660629553,frozenset({'citrus fruit'}),citrus fruit,1
0.03395041101383412,frozenset({'beef'}),beef,1
0.037759807525228894,frozenset({'frankfurter'}),frankfurter,1
0.027868742899151238,frozenset({'chicken'}),chicken,1
0.03522020985096572,frozenset({'butter'}),butter,1
0.03401724253157789,frozenset({'fruit/vegetable juice'}),fruit/vegetable juice,1
0.00848760275345853,frozenset({'packaged fruit/vegetables'}),packaged fruit/vegetables,1
0.02359152576355009,frozenset({'chocolate'}),chocolate,1
0.013967787208447505,frozenset({'specialty bar'}),specialty bar,1
0.017576689166610975,frozenset({'butter milk'}),butter milk,1
0.06068301811134131,frozenset({'bottled water'}),bottled water,1
0.08587850030074183,frozenset({'yogurt'}),yogurt,1
0.06034886052262247,frozenset({'sausage'}),sausage,1
0.03762614448974136,frozenset({'brown bread'}),brown bread,1
0.021853906302212123,frozenset({'hamburger meat'}),hamburger meat,1
0.06957160997126245,frozenset({'root vegetables'}),root vegetables,1
0.037091492347791216,frozenset({'pork'}),pork,1
0.0517275947336764,frozenset({'pastry'}),pastry,1
0.04691572545612511,frozenset({'canned beer'}),canned beer,1
0.021787074784468355,frozenset({'berries'}),berries,1
0.03161130789280225,frozenset({'coffee'}),coffee,1
0.01577223818752924,frozenset({'misc. beverages'}),misc. beverages,1
0.0171088685424046,frozenset({'ham'}),ham,1
0.005346521419501437,frozenset({'turkey'}),turkey,1
0.01049254828577157,frozenset({'red/blush wine'}),red/blush wine,1
0.009757401590590123,frozenset({'flour'}),flour,1
0.01771035220209851,frozenset({'sugar'}),sugar,1
0.016774710953685757,frozenset({'frozen meals'}),frozen meals,1
0.010559379803515338,frozenset({'herbs'}),herbs,1
0.09710619528169484,frozenset({'soda'}),soda,1
0.008621265788946068,frozenset({'detergent'}),detergent,1
0.01443560783265388,frozenset({'grapes'}),grapes,1
0.01015839069705273,frozenset({'processed cheese'}),processed cheese,1
0.038895943326872955,frozenset({'newspapers'}),newspapers,1
0.03368308494285905,frozenset({'curd'}),curd,1
0.008086613646995923,frozenset({'pasta'}),pasta,1
0.016574216400454454,frozenset({'beverages'}),beverages,1
0.04531176903027468,frozenset({'bottled beer'}),bottled beer,1
0.02359152576355009,frozenset({'dessert'}),dessert,1
0.015972732740760543,frozenset({'specialty chocolate'}),specialty chocolate,1
0.0065494887388892606,frozenset({'condensed milk'}),condensed milk,1
0.011695515605159393,frozenset({'white wine'}),white wine,1
0.016841542471429525,frozenset({'meat'}),meat,1
0.015170754527835327,frozenset({'ice cream'}),ice cream,1
0.01470293390362895,frozenset({'hard cheese'}),hard cheese,1
0.023658357281293858,frozenset({'cream cheese '}),cream cheese ,1
0.0068836463276081,frozenset({'liquor'}),liquor,1
0.008955423377664907,frozenset({'pickled vegetables'}),pickled vegetables,1
0.021386085678005748,frozenset({'UHT-milk'}),UHT-milk,1
0.014368776314910112,frozenset({'candy'}),candy,1
0.02024994987636169,frozenset({'onions'}),onions,1
0.005279689901757669,frozenset({'photo/film'}),photo/film,1
0.037091492347791216,frozenset({'domestic eggs'}),domestic eggs,1
0.03221279155249616,frozenset({'margarine'}),margarine,1
0.04758404063356279,frozenset({'shopping bags'}),shopping bags,1
0.005948005079195348,frozenset({'salt'}),salt,1
0.014903428456860256,frozenset({'oil'}),oil,1
0.043707812604424245,frozenset({'whipped/sour cream'}),whipped/sour cream,1
0.028002405934638777,frozenset({'frozen vegetables'}),frozen vegetables,1
0.014034618726191272,frozenset({'sliced cheese'}),sliced cheese,1
0.008086613646995923,frozenset({'baking powder'}),baking powder,1
0.018779656485998796,frozenset({'salty snack'}),salty snack,1
0.005680679008220277,frozenset({'pet care'}),pet care,1
0.023992514870012697,frozenset({'white bread'}),white bread,1
0.006683151774376796,frozenset({'spread cheese'}),spread cheese,1
0.006148499632426653,frozenset({'frozen dessert'}),frozen dessert,1
0.006816814809864332,frozenset({'frozen fish'}),frozen fish,1
0.013700461137472432,frozenset({'hygiene articles'}),hygiene articles,1
0.005480184454988973,frozenset({'canned vegetables'}),canned vegetables,1
0.012029673193878232,frozenset({'chewing gum'}),chewing gum,1
0.007685624540533315,frozenset({'canned fish'}),canned fish,1
0.009490075519615051,frozenset({'semi-finished bread'}),semi-finished bread,1
0.011829178640646929,frozenset({'cat food'}),cat food,1
0.022121232373187194,frozenset({'napkins'}),napkins,1
0.018512330415023724,frozenset({'waffles'}),waffles,1
0.017910846755329814,frozenset({'long life bakery product'}),long life bakery product,1
0.006148499632426653,frozenset({'mustard'}),mustard,1
0.010024727661565194,frozenset({'soft cheese'}),soft cheese,1
0.005012363830782597,frozenset({'mayonnaise'}),mayonnaise,1
0.005480184454988973,frozenset({'roll products '}),roll products ,1
0.009022254895408675,frozenset({'dishes'}),dishes,1
0.007084140880839404,frozenset({'seasonal products'}),seasonal products,1
0.006148499632426653,frozenset({'cake bar'}),cake bar,1
0.008220276682483459,"frozenset({'tropical fruit', 'whole milk'})","tropical fruit, whole milk",2
0.006282162667914188,"frozenset({'tropical fruit', 'other vegetables'})","tropical fruit, other vegetables",2
0.006081668114682885,"frozenset({'tropical fruit', 'rolls/buns'})","tropical fruit, rolls/buns",2
0.005212858384013901,"frozenset({'yogurt', 'tropical fruit'})","yogurt, tropical fruit",2
0.005413352937245205,"frozenset({'soda', 'tropical fruit'})","soda, tropical fruit",2
0.006616320256633028,"frozenset({'pip fruit', 'whole milk'})","pip fruit, whole milk",2
0.014836596939116486,"frozenset({'other vegetables', 'whole milk'})","other vegetables, whole milk",2
0.013967787208447505,"frozenset({'rolls/buns', 'whole milk'})","rolls/buns, whole milk",2
0.007150972398583172,"frozenset({'citrus fruit', 'whole milk'})","citrus fruit, whole milk",2
0.005279689901757669,"frozenset({'frankfurter', 'whole milk'})","frankfurter, whole milk",2
0.007150972398583172,"frozenset({'bottled water', 'whole milk'})","bottled water, whole milk",2
0.011160863463209249,"frozenset({'yogurt', 'whole milk'})","yogurt, whole milk",2
0.008955423377664907,"frozenset({'whole milk', 'sausage'})","whole milk, sausage",2
0.00755196150504578,"frozenset({'root vegetables', 'whole milk'})","root vegetables, whole milk",2
0.005012363830782597,"frozenset({'pork', 'whole milk'})","pork, whole milk",2
0.006482657221145492,"frozenset({'pastry', 'whole milk'})","pastry, whole milk",2
0.006014836596939116,"frozenset({'canned beer', 'whole milk'})","canned beer, whole milk",2
0.011628684087415625,"frozenset({'soda', 'whole milk'})","soda, whole milk",2
0.005613847490476508,"frozenset({'newspapers', 'whole milk'})","newspapers, whole milk",2
0.007150972398583172,"frozenset({'whole milk', 'bottled beer'})","whole milk, bottled beer",2
0.005279689901757669,"frozenset({'domestic eggs', 'whole milk'})","domestic eggs, whole milk",2
0.006348994185657956,"frozenset({'shopping bags', 'whole milk'})","shopping bags, whole milk",2
0.010559379803515338,"frozenset({'other vegetables', 'rolls/buns'})","other vegetables, rolls/buns",2
0.005146026866270133,"frozenset({'frankfurter', 'other vegetables'})","frankfurter, other vegetables",2
0.005480184454988973,"frozenset({'bottled water', 'other vegetables'})","bottled water, other vegetables",2
0.008086613646995923,"frozenset({'yogurt', 'other vegetables'})","yogurt, other vegetables",2
0.006014836596939116,"frozenset({'other vegetables', 'sausage'})","other vegetables, sausage",2
0.005279689901757669,"frozenset({'other vegetables', 'root vegetables'})","other vegetables, root vegetables",2
0.009690570072846355,"frozenset({'soda', 'other vegetables'})","soda, other vegetables",2
0.007819287576020852,"frozenset({'yogurt', 'rolls/buns'})","yogurt, rolls/buns",2
0.005346521419501437,"frozenset({'rolls/buns', 'sausage'})","rolls/buns, sausage",2
0.005747510525964045,"frozenset({'root vegetables', 'rolls/buns'})","root vegetables, rolls/buns",2
0.008086613646995923,"frozenset({'soda', 'rolls/buns'})","soda, rolls/buns",2
0.005747510525964045,"frozenset({'yogurt', 'sausage'})","yogurt, sausage",2
0.005814342043707813,"frozenset({'soda', 'yogurt'})","soda, yogurt",2
0.005948005079195348,"frozenset({'soda', 'sausage'})","soda, sausage",2
0.005279689901757669,"frozenset({'soda', 'root vegetables'})","soda, root vegetables",2
